DateTime,AddedIPs,RemovedIPs
1605756002,968,968
1605767523,554,554
1605790563,415,415
1605794406,309,309
1605798242,309,309
1605802082,415,415
1605813602,145,145
1605825122,107,107
1605836642,216,990
1605840483,913,139
1605852013,617,617
1605863762,391,391
1605875282,249,249
1605890643,205,205
1605898322,164,164
1605909842,115,115
1605913682,115,115
1605917522,135,135
1605921362,71,997
1605929043,72,0
1605936722,939,85
1605944403,513,513
1605959762,414,414
1605967442,215,215
1605978963,145,145
1605994323,124,124
1606009682,186,186
1606021212,974,974
1606029124,682,682
1606032962,448,448
1606036802,4,4
1606044483,304,304
1606056002,196,196
1606071363,150,150
1606079042,149,149
1606083123,80,80
1606090802,50,50
1606094642,50,50
1606098483,981,981
1606110003,718,718
1606129212,428,428
1606137122,280,280
1606140963,97,97
1606148643,176,176
1606152483,176,176
1606156322,176,176
1606164003,137,137
1606179362,124,124
1606187042,987,987
1606199282,774,774
1606211282,452,452
1606218962,276,276
1606222809,119,119
1606234323,169,169
1606238163,3,3
1606242002,3,3
1606245843,145,145
1606253522,136,136
1606272723,982,982
1606284242,739,739
1606295763,471,471
1606299602,471,471
1606303441,529,529
1606311122,299,299
1606314962,8,8
1606318802,180,180
1606338002,281,281
1606341842,128,128
1606349522,296,296
1606364883,961,961
1606372562,593,593
1606387922,364,364
1606395609,225,225
1606407123,214,214
1606418643,1,1
1606426322,187,187
1606430162,103,103
1606434003,103,103
1606437843,103,103
1606449362,111,997
1606457042,973,87
1606468563,509,509
1606476242,345,345
1606480082,345,345
1606483922,345,345
1606491603,223,223
1606503122,176,176
1606506963,136,136
1606518482,146,146
1606533842,975,975
1606549203,766,766
1606560722,355,355
1606564563,210,210
1606572242,53,53
1606576082,116,116
1606579922,57,57
1606587603,102,102
1606595282,49,49
1606599122,86,86
1606606802,33,33
1606614482,169,169
1606622162,984,984
1606626009,984,984
1606629842,984,984
1606637522,566,566
1606649042,344,344
1606656722,246,246
1606664403,68,68
1606668243,110,110
1606672082,43,43
1606683612,140,140
1606695122,150,150
1606702802,978,978
1606714322,812,812
1606725843,415,415
1606737363,324,324
1606741212,47,47
1606745042,47,47
1606748883,47,47
1606752723,135,135
1606756562,14,14
1606760402,183,183
1606764242,169,169
1606768082,169,169
1606775762,126,126
1606791122,977,977
1606802643,759,759
1606814402,415,415
1606829763,570,570
1606833602,148,148
1606841522,105,105
1606849209,185,185
1606860722,90,90
1606868407,199,199
1606876322,968,968
1606887843,774,774
1606903202,422,422
1606914723,303,303
1606918562,58,58
1606922402,186,186
1606933922,180,180
1606956963,454,454
1606964642,972,972
1606976162,622,622
1606983842,385,385
1606987683,385,385
1606991522,460,460
