DateTime,AddedIPs,RemovedIPs
1602440877,256,256
1602445099,256,256
1602446432,256,256
1602507003,2560,0
1602513338,768,768
1602518427,256,256
1602522029,0,1024
1602532832,256,256
1602534631,256,256
1602538791,256,0
1602541835,256,256
1602549302,256,256
1602565502,0,1024
1602593403,512,5376
1602599750,1280,1280
1602600324,256,256
1602605103,256,256
1602605726,256,256
1602607104,256,256
1602610645,256,256
1602612028,256,256
1602615630,256,256
1602621582,256,256
1602621931,256,256
1602622832,256,256
1602628233,256,2304
1602630302,256,256
1602631834,256,256
1602637236,256,256
1602642381,256,256
1602679803,1024,4864
1602682469,1792,1792
1602688526,256,256
1602696629,256,256
1602698430,256,256
1602700502,512,512
1602702031,256,256
1602711034,256,256
1602711924,256,256
1602712835,512,512
1602714635,256,256
1602716436,256,256
1602737212,0,8192
1602766203,0,2048
1602772477,1536,1536
1602781226,256,256
1602783027,256,256
1602784831,256,256
1602786630,256,256
1602788429,256,256
1602790229,256,256
1602792929,0,256
1602793830,512,512
1602797832,256,256
1602799233,256,256
1602801034,256,256
1602807002,256,256
1602808502,0,256
1602817236,256,256
1602819035,256,256
1602848371,1280,1280
1602849629,256,256
1602851427,256,256
1602853228,512,7424
1602855487,256,256
1602862962,256,256
1602864031,256,256
1602867633,256,256
1602871239,256,256
1602873602,256,256
1602878439,256,256
1602880238,256,256
1602888703,256,256
1602894645,256,256
1602939003,0,8192
1602942234,1024,1024
1602948776,256,256
1602950432,256,256
1602952234,256,256
1602959703,256,256
1602961502,512,512
1602963265,256,256
1602973838,256,256
1602992241,256,256
1603025402,256,0
1603037741,1024,0
1603042871,1536,1536
1603047628,256,256
1603049428,256,256
1603051230,0,256
1603053030,256,0
1603060233,256,256
1603064874,256,256
1603068790,256,256
1603111377,1024,1024
1603111803,7424,0
1603116324,256,256
1603134032,256,256
1603139435,256,256
1603166442,256,0
1603198802,0,8192
1603204814,1024,1280
1603206302,256,256
1603206927,256,256
1603226733,256,256
1603285239,1792,5376
1603294766,1024,1024
1603300526,256,256
1603308629,256,256
1603309611,256,256
1603371637,14080,7168
1603374195,768,768
1603374624,0,1024
1603375226,256,256
1603377027,256,256
1603398636,256,0
1603457180,1280,1280
1603457403,3840,5376
1603476938,256,256
1603477840,256,256
1603492246,256,256
1603495847,256,256
1603536303,1024,0
1603543803,0,6144
1603550319,768,768
1603571438,256,256
1603573802,256,256
1603579794,256,256
1603582243,256,256
1603583402,256,256
1603602903,65536,0
1603629571,1792,1536
1603630829,256,4096
1603636230,256,256
1603645234,256,256
1603650635,256,256
1603652436,256,256
1603662603,256,256
1603666155,256,256
1603669797,256,256
1603672246,768,768
1603716603,1024,0
1603748732,1536,1536
1603751430,256,256
1603755033,256,256
1603757732,256,256
1603798502,1280,1280
1603802515,256,256
1603803003,0,2816
1603805731,256,256
1603809156,256,256
1603809925,256,256
1603810825,256,256
1603816286,256,256
1603828830,256,256
1603830853,256,256
1603835132,0,3584
1603846835,256,256
1603890036,512,8704
1603892467,1280,1536
1603893628,256,256
1603895534,256,256
1603897502,256,256
1603922436,256,256
1603924539,256,256
1603927838,256,256
1603964341,1024,0
1603975803,2304,4864
1603986108,1536,1536
1603992627,256,256
1604015435,256,256
1604047536,0,1024
1604062203,0,3072
1604065232,1024,768
1604070026,256,256
1604080831,256,256
1604084702,256,256
1604093434,256,256
1604095236,256,256
1604097034,256,256
1604100635,256,256
1604104503,0,32768
1604129950,256,256
1604148143,2048,2048
1604148603,0,4864
1604152828,256,256
1604155633,256,256
1604157328,256,256
1604158229,512,512
1604163630,256,256
1604178033,256,256
1604180103,256,256
1604187037,256,256
1604198102,256,0
1604207740,65536,0
1604252719,1024,1024
1604262629,256,256
1604287834,256,256
1604321016,1280,1280
1604323825,256,256
1604329226,256,256
1604332827,256,256
1604334903,256,256
1604350281,256,256
1604357348,256,256
1604359835,256,256
1604364303,65280,0
1604407803,1280,2048
1604414808,1280,1280
1604418311,256,256
